Error Type,Faulty Code,Error Description,Corrected Code,Faulty Code Snippet,Type of Error,Tokens,Normalized Tokens
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,,"['void', 'blink_led', '(', ')', '{', 'pinMode', '(', '13', ',', 'OUTPUT', ')', 'digitalWrite', '(', '13', ',', 'HIGH', ')', ';', '}']","['VAR_1', 'VAR_2', '(', ')', '{', 'VAR_3', '(', 'NUM_1', ',', 'FUNC_1', ')', 'VAR_4', '(', 'NUM_1', ',', 'FUNC_2', ')', ';', '}']"
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,,"['void', 'blink_led', '(', ')', '{', 'pinMode', '(', '13', ',', 'OUTPUT', ')', 'digitalWrite', '(', '13', ',', 'HIGH', ')', ';', '}']","['VAR_1', 'VAR_2', '(', ')', '{', 'VAR_3', '(', 'NUM_1', ',', 'FUNC_1', ')', 'VAR_4', '(', 'NUM_1', ',', 'FUNC_2', ')', ';', '}']"
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,,"['int', 'x', '=', '10', 'y', '=', '20', ';']","['VAR_1', 'VAR_2', '=', 'NUM_1', 'VAR_3', '=', 'NUM_2', ';']"
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,,"['void', 'loop', '(', 'Serial', '.', 'println', '(', '""', 'Hello', '""', ')', ';', '}']","['VAR_1', 'VAR_2', '(', 'FUNC_1', '.', 'VAR_3', '(', '""', 'FUNC_2', '""', ')', ';', '}']"
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,,['PORTB'],['FUNC_1']
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,,"['PORTB', 'Serial', 'println']","['FUNC_1', 'FUNC_2', 'VAR_1']"
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,,"['void', 'loop', '(', 'Serial', '.', 'println', '(', '""', 'Hello', '""', ')', ';', '}']","['VAR_1', 'VAR_2', '(', 'FUNC_1', '.', 'VAR_3', '(', '""', 'FUNC_2', '""', ')', ';', '}']"
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,,"['void', 'loop', '(', 'Serial', '.', 'println', '(', '""', 'Hello', '""', ')', ';', '}']","['VAR_1', 'VAR_2', '(', 'FUNC_1', '.', 'VAR_3', '(', '""', 'FUNC_2', '""', ')', ';', '}']"
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,,"['void', 'blink_led', '(', ')', '{', 'pinMode', '(', '13', ',', 'OUTPUT', ')', 'digitalWrite', '(', '13', ',', 'HIGH', ')', ';', '}']","['VAR_1', 'VAR_2', '(', ')', '{', 'VAR_3', '(', 'NUM_1', ',', 'FUNC_1', ')', 'VAR_4', '(', 'NUM_1', ',', 'FUNC_2', ')', ';', '}']"
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,,"['void', 'blink_led', '(', ')', '{', 'pinMode', '(', '13', ',', 'OUTPUT', ')', 'digitalWrite', '(', '13', ',', 'HIGH', ')', ';', '}']","['VAR_1', 'VAR_2', '(', ')', '{', 'VAR_3', '(', 'NUM_1', ',', 'FUNC_1', ')', 'VAR_4', '(', 'NUM_1', ',', 'FUNC_2', ')', ';', '}']"
